year,race_idx,race,source,N,R,exp_prev,surv_ratio_used,prev_used,prev_sigma,true,s,s_logit,s_logit_sigma
2017,1,NH Black,interpolated,587062,237.0,18.24563141638376,0.696289717044871,12.704245536218856,1.5245094643462627,745.8179792983714,0.31777190491298946,-0.7640302069377831,0.20001075488024814
2018,1,NH Black,observed,578280,239.0,18.91526304533052,0.6963668693601209,13.17196251,0.9220373757000001,761.70824802828,0.31376842855340414,-0.782559913322864,0.13888977310674305
2019,1,NH Black,extrapolated,576330,205.0,19.16571096507789,0.6963668693601209,13.346366143812231,1.8017594294146513,769.1911199663303,0.26651373719573546,-1.012383080146339,0.20722524560327196
2020,1,NH Black,extrapolated,529368,234.0,19.957702684345968,0.6963668693601209,13.897882937918084,2.3626400994460743,735.7094495079821,0.31806034319185567,-0.7627000509321722,0.2670851418556149
2021,1,NH Black,extrapolated,517234,212.0,20.644057416600404,0.6963668693601209,14.37583763408861,2.9470467149881654,743.5672002830188,0.28511209197945786,-0.9192433502692334,0.30242354970636426
2022,1,NH Black,extrapolated,510693,231.0,21.74856643117482,0.6963668693601209,15.144981118747827,3.6347954684994788,773.4435842476684,0.2986643172232072,-0.8536663773150639,0.3548306388764166
2023,1,NH Black,extrapolated,490289,224.0,22.583083580578055,0.6963668693601209,15.72611121350509,4.3246805837139,771.0339340758197,0.29051899028087774,-0.892864785344426,0.3988838332785612
2024,1,NH Black,extrapolated,472256,207.0,23.35740017397767,0.6963668693601209,16.265319635544373,5.042249087018757,768.1394789803643,0.2694823084406152,-0.9972507069885442,0.43489195452707086
2016,2,NH AIAN,observed,36195,26.0,15.404521489496783,0.6973268379237988,10.74198626,0.7519390382,38.88061926806999,0.6687136287809087,0.7023727386819734,0.6285629399322724
2017,2,NH AIAN,interpolated,34487,22.0,15.73770933534218,0.7545401190938659,11.874733076153733,1.4249679691384478,40.95239195973138,0.5372091579322807,0.1491123050076231,0.5286446144332153
2018,2,NH AIAN,observed,33688,33.0,16.079738348808924,0.8117534002639328,13.05278228,0.9136947596000001,43.972212944864005,0.7504739422911948,1.1011415805532074,0.7519242989155233
2019,2,NH AIAN,extrapolated,32823,15.0,16.373922308816365,0.7545401190938659,12.354781288928008,1.6678954740052812,40.5520986246484,0.36989454328468935,-0.5326692501253804,0.5
2020,2,NH AIAN,extrapolated,26809,18.0,16.80432853627619,0.7545401190938659,12.679540055054286,2.1555218093592288,33.992578933595034,0.5295273428698436,0.11824695990290762,0.6177030181188545
2021,2,NH AIAN,extrapolated,26106,20.0,17.1395346167094,0.7545401190938659,12.932466490905348,2.651155630635597,33.7614970211575,0.5923907932005056,0.3738576518242952,0.7442330084353888
2022,2,NH AIAN,extrapolated,25700,26.0,17.749790144567076,0.7545401190938659,13.392928769572768,3.2143029046974645,34.419826937802014,0.7553785801126492,1.1275072636837011,1.2670107106527364
2023,2,NH AIAN,extrapolated,24546,22.0,18.247247650433295,0.7545401190938659,13.768280415293201,3.786277114205631,33.79562110737869,0.6509719093517911,0.6233140833536187,0.9969537458680477
2024,2,NH AIAN,extrapolated,23997,15.0,18.28673906711605,0.7545401190938659,13.798078273540193,4.277404264797461,33.1112484330144,0.4530182554229478,-0.18848300453056752,0.7375813089232626
2016,3,NH Asian/Pacific Islander,observed,277173,92.0,26.682559953874705,0.3410739238563367,9.100725422,0.6370507795400001,252.2475367392006,0.3647211036796726,-0.5549311472713557,0.19767212511928012
2017,3,NH Asian/Pacific Islander,interpolated,272089,83.0,27.502529200029382,0.32858441719083176,9.036902528465488,1.0844283034158584,245.8841772067646,0.3375573041863735,-0.6741987711525035,0.24549897599018722
2018,3,NH Asian/Pacific Islander,observed,264026,89.0,28.065593448677777,0.3160949105253268,8.87139125,0.6209973875000001,234.22779461725003,0.3799719847315058,-0.4896671373233299,0.20487361221038233
2019,3,NH Asian/Pacific Islander,extrapolated,261825,86.0,28.67481656154489,0.3160949105253268,9.063963575351691,1.2236350826724784,237.31722631164564,0.36238414436491245,-0.565031173391208,0.2709781077073926
2020,3,NH Asian/Pacific Islander,extrapolated,228779,57.0,29.71338260409978,0.3160949105253268,9.392249015647721,1.5966823326601127,214.874933755087,0.26527058788982905,-1.0187518932324509,0.29331665690949543
2021,3,NH Asian/Pacific Islander,extrapolated,223217,64.0,30.642679308940725,0.3160949105253268,9.685994974415902,1.98562896975526,216.20787402041944,0.2960114209066947,-0.8663640954236722,0.34106255584444134
2022,3,NH Asian/Pacific Islander,extrapolated,228943,82.0,32.00522675736961,0.3160949105253268,10.116689288213543,2.4280054291712503,231.61451957114733,0.3540365265175496,-0.6013428695233661,0.4089823575370798
2023,3,NH Asian/Pacific Islander,extrapolated,225675,72.0,32.48212134612833,0.3160949105253268,10.267433240577242,2.8235441411587416,231.7102996567269,0.3107328422891267,-0.7966954279056583,0.4340678567130734
2024,3,NH Asian/Pacific Islander,extrapolated,237160,64.0,32.82351519947469,0.3160949105253268,10.375346100104656,3.216357291032444,246.06170811008204,0.26009735725059646,-1.045462601800681,0.4517525400708334
2016,4,Hispanic,observed,925346,554.0,19.223686480056905,0.8321008427074935,15.99604572,1.1197232004000002,1480.187692281912,0.3742768588664139,-0.5139122188089082,0.13086361948362765
2017,4,Hispanic,interpolated,905159,562.0,19.62680999295804,0.8359311390718939,16.406661633761043,1.968799396051325,1485.0637437753512,0.37843493409331724,-0.496196443736281,0.2046416665482753
2018,4,Hispanic,observed,892695,584.0,19.969254924510235,0.8397614354362942,16.76941018,1.1738587126000002,1496.99686206351,0.39011437819248,-0.44683146080958636,0.13333029022671172
2019,4,Hispanic,extrapolated,892969,563.0,20.084948170820383,0.8397614354362942,16.866564906591698,2.2769862623898796,1506.1319598074283,0.3738052275791188,-0.5159265808726797,0.22584921062153054
2020,4,Hispanic,extrapolated,870423,534.0,20.30370662795435,0.8397614354362942,17.050269822568346,2.898545869836619,1484.0947009769407,0.35981531343551176,-0.5761658259050333,0.2740168262904545
2021,4,Hispanic,extrapolated,888227,549.0,20.4479173920955,0.8397614354362942,17.171372460868884,3.5201313544781216,1525.2076646800185,0.35995098419281657,-0.5755768934595263,0.32715548074884715
2022,4,Hispanic,extrapolated,941891,514.0,20.793282454228397,0.8397614354362942,17.46139672119515,4.190735213086836,1644.673241912322,0.31252408496799844,-0.7883452581421776,0.3549499159524927
2023,4,Hispanic,extrapolated,950282,541.0,20.936291369870922,0.8397614354362942,17.581490093475303,4.834909775705708,1670.7373569007898,0.3238091240166872,-0.7363211783230171,0.41163005996679114
2024,4,Hispanic,extrapolated,989537,568.0,20.76543815511513,0.8397614354362942,17.438014152603074,5.405784387306954,1725.5560210524388,0.3291692608470454,-0.7119447643855189,0.4663273644836716
